央视,#genre#
CCTV-1综合,https://www.shqsy.com/tv/zb/jxyh.php?id=cctv1
CCTV-2财经,https://www.shqsy.com/tv/zb/jxyh.php?id=cctv2
CCTV-3综艺,https://www.shqsy.com/tv/zb/jxyh.php?id=cctv3
CCTV-4中文国际,https://www.shqsy.com/tv/zb/jxyh.php?id=cctv4
CCTV-5体育,https://www.shqsy.com/tv/zb/jxyh.php?id=cctv5
CCTV-6电影,https://www.shqsy.com/tv/zb/jxyh.php?id=cctv6
CCTV-8电视剧,https://www.shqsy.com/tv/zb/jxyh.php?id=cctv8
CCTV-9纪录,https://www.shqsy.com/tv/zb/jxyh.php?id=cctv9
CCTV-10科教,https://www.shqsy.com/tv/zb/jxyh.php?id=cctv10
CCTV-11戏曲,https://www.shqsy.com/tv/zb/jxyh.php?id=cctv11
CCTV-12社会与法,https://www.shqsy.com/tv/zb/jxyh.php?id=cctv12
CCTV-13新闻,https://www.shqsy.com/tv/zb/jxyh.php?id=cctv13
CCTV-14少儿,https://www.shqsy.com/tv/zb/jxyh.php?id=cctv14

卫视,#genre#

北京卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=bjws
东方卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=dfws
浙江卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=zjws
江苏卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=jsws
湖南卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=hunws
广东卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=gdws
深圳卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=szws
辽宁卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=lnws
山东卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=sdws
天津卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=tjws
重庆卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=HQws
黑龙江卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=hljws
吉林卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=jlws
海南卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=hinws
河北卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=hbws
安徽卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=ahws
河南卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=hnws
湖北卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=hubws
江西卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=jxws
东南卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=dnws
广西卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=gxws
云南卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=ynws
贵州卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=gzws
四川卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=scws
内蒙古卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=nmws
宁夏卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=nxws
甘肃卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=gsws
青海卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=qhws
陕西卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=sxws
山西卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=sxiws
新疆卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=xjws
兵团卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=btws
西藏卫视,https://www.shqsy.com/tv/zb/jxyh.php?id=xzws
