其他,#genre#

AXN,https://yydsxll.serv00.net/Smartv.php?id=axn_twn
CINEMAX,https://yydsxll.serv00.net/Smartv.php?id=cinemax_twn
EYE戲劇,https://yydsxll.serv00.net/Smartv.php?id=eyetvxiju_twn
EYE旅遊,https://yydsxll.serv00.net/Smartv.php?id=eyetvtravel_twn
好萊塢電影台,https://yydsxll.serv00.net/Smartv.php?id=hollywoodmovies_twn
MTV Live,https://yydsxll.serv00.net/Smartv.php?id=mtvhd_twn
TLC旅遊生活,https://yydsxll.serv00.net/Smartv.php?id=tlc_twn
東森新聞,https://yydsxll.serv00.net/Smartv.php?id=ettvnews
三立台灣台,https://yydsxll.serv00.net/Smartv.php?id=sanlitaiwan
三立戲劇台,https://yydsxll.serv00.net/Smartv.php?id=sanlixiju_twn
三立綜合台,https://yydsxll.serv00.net/Smartv.php?id=sanlizhonghe
中天亞洲台,https://yydsxll.serv00.net/Smartv.php?id=ctiasia_twn
中天娱樂,https://yydsxll.serv00.net/Smartv.php?id=ctient
中天新聞HD,https://yydsxll.serv00.net/Smartv.php?id=ctinews
中天綜合,https://yydsxll.serv00.net/Smartv.php?id=ctizhonghe
亞洲旅遊台,https://yydsxll.serv00.net/Smartv.php?id=asiatravel_twn
亞洲美食,https://yydsxll.serv00.net/Smartv.php?id=afc_twn
八大戲劇,https://yydsxll.serv00.net/Smartv.php?id=badadrama
八大第一,https://yydsxll.serv00.net/Smartv.php?id=badafirst
八大綜合,https://yydsxll.serv00.net/Smartv.php?id=badazhonghe
公視,https://yydsxll.serv00.net/Smartv.php?id=ctv_taiwan
民視,https://yydsxll.serv00.net/Smartv.php?id=ftvhd_taiwan
民視第一台,https://yydsxll.serv00.net/Smartv.php?id=lunghuajingdian_twn
民視台灣台,https://yydsxll.serv00.net/Smartv.php?id=ftvtaiwan_twn
民視新聞台,https://yydsxll.serv00.net/Smartv.php?id=ftvnew_taiwan
台視,https://yydsxll.serv00.net/Smartv.php?id=ttv_taiwan	
台視新聞台,https://yydsxll.serv00.net/Smartv.php?id=ttvnews_twn
中視,https://yydsxll.serv00.net/Smartv.php?id=zhongshihd_twn
中視新聞台,https://yydsxll.serv00.net/Smartv.php?id=zhongshinews_twn
中視經典,https://yydsxll.serv00.net/Smartv.php?id=zhongshi_twn
華視,https://yydsxll.serv00.net/Smartv.php?id=ctshd_twn
華藝綜合,https://yydsxll.serv00.net/Smartv.php?id=weishichinese_twn
大愛一台,https://yydsxll.serv00.net/Smartv.php?id=daai_twn
寰宇新聞台,https://yydsxll.serv00.net/Smartv.php?id=huanyuxinwen_twn
寰宇財經台,https://yydsxll.serv00.net/Smartv.php?id=huanyutaiwan_twn
愛爾達影劇,https://yydsxll.serv00.net/Smartv.php?id=eltayingju_twn
愛爾達體育 1,https://yydsxll.serv00.net/Smartv.php?id=eltasport_twn
愛爾達體育 2,https://yydsxll.serv00.net/Smartv.php?id=eltasport2_twn
愛爾達體育 3,https://yydsxll.serv00.net/Smartv.php?id=eltasport3_twn
探索亞洲,https://yydsxll.serv00.net/Smartv.php?id=discoverytwn_twn
探索動力,https://yydsxll.serv00.net/Smartv.php?id=discoveryturbo_twn
國家地理,https://yydsxll.serv00.net/Smartv.php?id=natgeohd_twn
野生動物,https://yydsxll.serv00.net/Smartv.php?id=natgeowild_twn
動物星球,https://yydsxll.serv00.net/Smartv.php?id=animalplanet_twn
時尚,https://yydsxll.serv00.net/Smartv.php?id=fashiontv_twn
Discovery Asia,https://yydsxll.serv00.net/Smartv.php?id=discoverytwn_twn
Discovery HD,https://yydsxll.serv00.net/Smartv.php?id=discoveryhd_twn
東森戲劇,https://yydsxll.serv00.net/Smartv.php?id=ettvdrama
東森洋片,https://yydsxll.serv00.net/Smartv.php?id=ettvwestern
