📺海外专用,#genre#
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰中文,http://122.117.71.103:8574/http/61.222.53.250:8078/hls/21/80/phoenixch.m3u8
凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
凤凰中文,http://1b6467f415.iok.la:9931/tsfile/live/1037_1.m3u8
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8?key=txiptv
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8?
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰资讯,http://122.117.71.103:8573/http/61.222.53.250:8078/hls/20/80/phoenixif.m3u8
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯,https://www.youtube.com/watch?v=HFib76ySpbU
凤凰资讯,https://www.youtube.com/watch?v=LNux6O0Fj6A
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8?key=txiptv
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8?
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8
CCTV-1,https://arm.130707.xyz/6000000001000029752/wasusyt/index.m3u8
CCTV-1,https://arm.130707.xyz/1000000001000018602/ystenlive/index.m3u8
CCTV-1,https://arm.130707.xyz/5000000004000002226/bestzb/index.m3u8
CCTV-1,https://arm.130707.xyz/1000000005000265001/ystenlive/index.m3u8
CCTV-1,https://arm.130707.xyz/5000000010000030810/bestzb/index.m3u8
CCTV-1,https://arm.130707.xyz/1000000001000021973/ystenlive/index.m3u8
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-1,https://cdn5.163189.xyz/live/cctv1/stream.m3u8
CCTV-1,http://23.158.24.115:51021/TVOD/6000000001000029752/wasusyt/index.m3u8
CCTV-1,http://23.158.24.115:51021/TVOD/1000000001000018602/ystenlive/index.m3u8
CCTV-1,http://23.158.24.115:51021/TVOD/5000000004000002226/bestzb/index.m3u8
CCTV-1,http://23.158.24.115:51021/TVOD/1000000005000265001/ystenlive/index.m3u8
CCTV-1,http://23.158.24.115:51021/TVOD/5000000010000030810/bestzb/index.m3u8
CCTV-1,http://23.158.24.115:51021/TVOD/1000000001000021973/ystenlive/index.m3u8
CCTV-1,http://221.226.4.10:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,https://arm.130707.xyz/6000000001000014161/wasusyt/index.m3u8
CCTV-2,https://arm.130707.xyz/1000000001000023315/ystenlive/index.m3u8
CCTV-2,https://arm.130707.xyz/5000000011000031101/bestzb/index.m3u8
CCTV-2,https://arm.130707.xyz/1000000005000265002/ystenlive/index.m3u8
CCTV-2,https://arm.130707.xyz/1000000001000012442/ystenlive/index.m3u8
CCTV-2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV-2,http://23.158.24.115:51021/TVOD/6000000001000014161/wasusyt/index.m3u8
CCTV-2,http://23.158.24.115:51021/TVOD/1000000001000023315/ystenlive/index.m3u8
CCTV-2,http://23.158.24.115:51021/TVOD/5000000011000031101/bestzb/index.m3u8
CCTV-2,http://23.158.24.115:51021/TVOD/1000000005000265002/ystenlive/index.m3u8
CCTV-2,http://23.158.24.115:51021/TVOD/1000000001000012442/ystenlive/index.m3u8
CCTV-2,http://221.226.4.10:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://goo.bkpcp.top/mg/cctv2
CCTV-2,http://113.57.111.4:1111/tsfile/live/1001_1.m3u8
CCTV-2,http://itv.zhanghao.org.cn/TVOD/1000000001000023315/ystenlive/index.m3u8
CCTV-3,https://arm.130707.xyz/6000000001000022313/wasusyt/index.m3u8
CCTV-3,https://arm.130707.xyz/1000000001000013682/ystenlive/index.m3u8
CCTV-3,https://arm.130707.xyz/5000000004000008883/bestzb/index.m3u8
CCTV-3,https://arm.130707.xyz/1000000005000265003/ystenlive/index.m3u8
CCTV-3,https://arm.130707.xyz/5000000002000020548/bestzb/index.m3u8
CCTV-3,https://arm.130707.xyz/1000000001000011218/ystenlive/index.m3u8
CCTV-3,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021
CCTV-3,http://23.158.24.115:51021/TVOD/6000000001000022313/wasusyt/index.m3u8
CCTV-3,http://23.158.24.115:51021/TVOD/1000000001000013682/ystenlive/index.m3u8
CCTV-3,http://23.158.24.115:51021/TVOD/5000000004000008883/bestzb/index.m3u8
CCTV-3,http://23.158.24.115:51021/TVOD/1000000005000265003/ystenlive/index.m3u8
CCTV-3,http://23.158.24.115:51021/TVOD/5000000002000020548/bestzb/index.m3u8
CCTV-3,http://23.158.24.115:51021/TVOD/1000000001000011218/ystenlive/index.m3u8
CCTV-3,http://221.226.4.10:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://goo.bkpcp.top/mg/cctv3
CCTV-4,https://arm.130707.xyz/5000000011000031102/bestzb/index.m3u8
CCTV-4,https://arm.130707.xyz/1000000005000265004/ystenlive/index.m3u8
CCTV-4,https://arm.130707.xyz/1000000002000031664/ystenlive/index.m3u8
CCTV-4,https://arm.130707.xyz/5000000005000030093/bestzb/index.m3u8
CCTV-4,http://23.158.24.115:51021/TVOD/5000000011000031102/bestzb/index.m3u8
CCTV-4,http://23.158.24.115:51021/TVOD/1000000005000265004/ystenlive/index.m3u8
CCTV-4,http://23.158.24.115:51021/TVOD/1000000002000031664/ystenlive/index.m3u8
CCTV-4,http://23.158.24.115:51021/TVOD/5000000005000030093/bestzb/index.m3u8
CCTV-4,http://221.226.4.10:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://goo.bkpcp.top/mg/cctv4
CCTV-4,http://113.57.111.4:1111/tsfile/live/1003_1.m3u8
CCTV-4,http://itv.zhanghao.org.cn/TVOD/1000000005000265004/ystenlive/index.m3u8
CCTV-4,http://220.202.110.48:9003/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://222.219.183.103:8089/hls/4/index.m3u8
CCTV-4,http://218.29.168.146:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,https://arm.130707.xyz/1000000005000025222/ystenlive/index.m3u8
CCTV-5,https://arm.130707.xyz/6000000001000016431/wasusyt/index.m3u8
CCTV-5,https://arm.130707.xyz/1000000003000030177/ystenlive/index.m3u8
CCTV-5,https://arm.130707.xyz/5000000004000008885/bestzb/index.m3u8
